2017Apr09-22:46:45:963 | INFO  | ,CSV,2017-04-09 22:46:45.960,-1229151704,0.000000,47.593823,-122.381287,185.580000,0.185000,0,1,1,,0,1500,31.247159,0,351.878049,
2017Apr09-22:46:46:062 | INFO  | Boat arming canceled
2017Apr09-22:46:46:122 | INFO  | Orientation after getAccelOrientation: {"pitch": -7, "heading": 31, "roll": 2}
2017Apr09-22:46:46:122 | INFO  | Orientation after getMagOrientation: {"pitch": -7, "heading": 36, "roll": 2}
2017Apr09-22:46:46:164 | INFO  | Boat arming canceled
2017Apr09-22:46:46:264 | INFO  | Boat arming canceled
2017Apr09-22:46:46:364 | INFO  | Boat arming canceled
2017Apr09-22:46:46:464 | INFO  | Boat arming canceled
2017Apr09-22:46:46:467 | INFO  | ,CSV,2017-04-09 22:46:46.462,-1229151704,0.000000,47.593823,-122.381287,190.960000,0.165000,0,1,1,,0,1500,41.011013,0,351.878049,
2017Apr09-22:46:46:565 | INFO  | Boat arming canceled
2017Apr09-22:46:46:665 | INFO  | Boat arming canceled
2017Apr09-22:46:46:769 | INFO  | Boat arming canceled
2017Apr09-22:46:46:865 | INFO  | Boat arming canceled
2017Apr09-22:46:46:969 | INFO  | Boat arming canceled
2017Apr09-22:46:46:973 | INFO  | ,CSV,2017-04-09 22:46:46.964,-1229151704,0.000000,47.593822,-122.381287,246.390000,0.062000,0,1,1,,0,1500,40.870840,0,351.878049,
2017Apr09-22:46:47:066 | INFO  | Boat arming canceled
2017Apr09-22:46:47:170 | INFO  | Boat arming canceled
2017Apr09-22:46:47:269 | INFO  | Boat arming canceled
2017Apr09-22:46:47:366 | INFO  | Boat arming canceled
2017Apr09-22:46:47:467 | INFO  | Boat arming canceled
2017Apr09-22:46:47:468 | INFO  | ,CSV,2017-04-09 22:46:47.465,-1229151704,0.000000,47.593822,-122.381287,246.390000,0.062000,0,1,1,,0,1500,41.450832,0,351.878049,
2017Apr09-22:46:47:569 | INFO  | Boat arming canceled
2017Apr09-22:46:47:669 | INFO  | Boat arming canceled
2017Apr09-22:46:47:768 | INFO  | Boat arming canceled
2017Apr09-22:46:47:869 | INFO  | Boat arming canceled
2017Apr09-22:46:47:969 | INFO  | Boat arming canceled
2017Apr09-22:46:47:970 | INFO  | ,CSV,2017-04-09 22:46:47.967,-1229151704,0.000000,47.593822,-122.381288,216.060000,0.108000,0,1,1,,0,1500,34.085279,0,351.878049,
2017Apr09-22:46:48:069 | INFO  | Boat arming canceled
2017Apr09-22:46:48:170 | INFO  | Boat arming canceled
2017Apr09-22:46:48:271 | INFO  | Boat arming canceled
2017Apr09-22:46:48:372 | INFO  | Boat arming canceled
2017Apr09-22:46:48:474 | INFO  | Boat arming canceled
2017Apr09-22:46:48:482 | INFO  | ,CSV,2017-04-09 22:46:48.469,-1229151704,0.000000,47.593822,-122.381288,216.060000,0.108000,0,1,1,,0,1500,33.247417,0,351.878049,
2017Apr09-22:46:48:575 | INFO  | Boat arming canceled
2017Apr09-22:46:48:674 | INFO  | Boat arming canceled
2017Apr09-22:46:48:772 | INFO  | Boat arming canceled
2017Apr09-22:46:48:872 | INFO  | Boat arming canceled
2017Apr09-22:46:48:973 | INFO  | Boat arming canceled
2017Apr09-22:46:48:973 | INFO  | ,CSV,2017-04-09 22:46:48.971,-1229151704,0.000000,47.593822,-122.381288,236.040000,0.108000,0,1,1,,0,1500,44.191734,0,351.878049,
2017Apr09-22:46:49:074 | INFO  | Boat arming canceled
2017Apr09-22:46:49:174 | INFO  | Boat arming canceled
2017Apr09-22:46:49:275 | INFO  | Boat arming canceled
2017Apr09-22:46:49:376 | INFO  | Boat arming canceled
2017Apr09-22:46:49:539 | INFO  | Boat arming canceled
2017Apr09-22:46:49:575 | INFO  | ,CSV,2017-04-09 22:46:49.473,-1229151704,0.000000,47.593822,-122.381288,236.040000,0.108000,0,1,1,,0,1500,35.900857,0,351.878049,
2017Apr09-22:46:49:634 | INFO  | Boat arming canceled
2017Apr09-22:46:49:735 | INFO  | Boat arming canceled
2017Apr09-22:46:49:853 | INFO  | Boat arming canceled
2017Apr09-22:46:49:944 | INFO  | Boat arming canceled
2017Apr09-22:46:50:038 | INFO  | Boat arming canceled
2017Apr09-22:46:50:039 | INFO  | ,CSV,2017-04-09 22:46:50.036,-1229151704,0.000000,47.593820,-122.381290,233.790000,0.113000,0,1,1,,0,1500,37.910782,0,351.878049,
2017Apr09-22:46:50:141 | INFO  | Boat arming canceled
2017Apr09-22:46:50:241 | INFO  | Boat arming canceled
2017Apr09-22:46:50:341 | INFO  | Boat arming canceled
2017Apr09-22:46:50:442 | INFO  | Boat arming canceled
2017Apr09-22:46:50:567 | INFO  | Boat arming canceled
